ProfanityDegree,Twitter_ID,Tweet
HIGH,1.27288E+14,"""All kimchi people look similar"""
HIGH,1.27288E+14,"""Keko is weird for others but not for the kekos"""
HIGH,1.27288E+14,Jungle bunny are black people
HIGH,1.27288E+14,Jim Crow are black people
HIGH,1.27288E+14,"""Hope you all are doing well? Wear Mask"""
LOW,1.27288E+14,Covid has negatively affected the whole earth.
HIGH,1.27288E+14,"""Warning! Educated Fools are driving on the roads"""
HIGH,1.27288E+14,"""Hun people are savage and ruthless"""
LOW,1.27288E+14,"""Salute to the brave covid warriors"""
LOW,1.27288E+14,"""Please follow the covid guidelines"""
HIGH,1.27288E+14,"""Gora is indian term for white people"""
LOW,1.27288E+14,"""Buy this product now, Limited time offer"""
LOW,1.27288E+14,"""Hustle Hard today"""
HIGH,1.27288E+14,"""Black people are also termed as Crow in US"""
HIGH,1.27288E+14,"""Ching Chong are china people"""
HIGH,1.27288E+14,"""Chink Chinky Chonky all refer to asians"""
HIGH,1.27288E+14,"""Japanese are also called chankoro"""
HIGH,1.27288E+14,"""Indians are also called Brownie"""
LOW,1.27288E+14,"""Dirty Clothes? Use this detergent powder!"""
HIGH,1.27288E+14,"""Germans are also called Bosch"""
